key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
Timeout (s),超时时间（秒）,逾時時間（秒）,Timeout (s),Délai (s),タイムアウト（秒）,타임아웃(초),Тайм-аут (с),Tiempo de espera (s),Zeitlimit (s),Tempo limite (s),Batas Waktu (d),المهلة (ثانية)
Max Retries,最大重试次数,最大重試次數,Max Retries,Tentatives max,最大リトライ回数,최대 재시도,Макс. повторов,Reintentos máx.,Max. Wiederholungen,Máx. tentativas,Maks. Percobaan Ulang,أقصى عدد للمحاولات
Default Decision Model,默认决策模型,預設決策模型,Default Decision Model,Modèle de décision par défaut,デフォルト判断モデル,기본 의사결정 모델,Модель решений по умолчанию,Modelo de decisión predeterminado,Standard-Entscheidungsmodell,Modelo de decisão padrão,Model Keputusan Default,نموذج القرار الافتراضي
Name,名称,名稱,Name,Nom,名前,이름,Название,Nombre,Name,Nome,Nama,الاسم
Model,模型,模型,Model,Modèle,モデル,모델,Модель,Modelo,Modell,Modelo,Model,النموذج
API Domain,API 域名,API 域名,API Domain,Domaine API,APIドメイン,API 도메인,Домен API,Dominio API,API-Domain,Domínio da API,Domain API,نطاق API
API Key,API Key,API Key,API Key,Clé API,APIキー,API 키,API-ключ,Clave API,API-Schlüssel,Chave de API,Kunci API,مفتاح API
Status,状态,狀態,Status,Statut,ステータス,상태,Статус,Estado,Status,Estado,Status,الحالة
Active,激活,激活,Active,Actif,アクティブ,활성,Активный,Activo,Aktiv,Ativo,Aktif,نشط
Locked,锁定,鎖定,Locked,Verrouillé,ロック中,잠금,Заблокирован,Bloqueado,Gesperrt,Bloqueado,Terkunci,مقفل
Remark,备注,備註,Remark,Remarque,備考,비고,Примечание,Observación,Bemerkung,Observação,Keterangan,ملاحظة
Sort,排序,排序,Sort,Tri,並び順,정렬,Сортировка,Orden,Sortierung,Ordenação,Urutan,الترتيب
decision.no_default_model,没有启用的默认决策模型，请先设置一个,沒有啟用的預設決策模型，請先設定一個,No enabled decision model is marked as default,Aucun modèle de décision activé n'est défini par défaut,有効な既定の判断モデルが設定されていません,기본으로 지정된 활성 의사결정 모델이 없습니다,Нет включённой модели решений по умолчанию,Ningún modelo de decisión activo está marcado como predeterminado,Kein aktives Entscheidungsmodell ist als Standard markiert,Nenhum modelo de decisão ativo está marcado como padrão,Tidak ada model keputusan aktif yang ditandai sebagai default,لا يوجد نموذج قرار مُفعَّل محدد كافتراضي
decision.model_locked,该决策指定的模型已锁定:,該決策指定的模型已鎖定:,The model this decision is pinned to is locked:,Le modèle associé à cette décision est verrouillé :,この判断に指定されたモデルはロックされています:,이 의사결정에 지정된 모델이 잠겨 있습니다:,"Модель, закреплённая за этим решением, заблокирована:",El modelo asignado a esta decisión está bloqueado:,Das für diese Entscheidung festgelegte Modell ist gesperrt:,O modelo atribuído a esta decisão está bloqueado:,Model yang ditetapkan untuk keputusan ini terkunci:,النموذج المرتبط بهذا القرار مقفل:
decision.default_model_locked,锁定的模型不能设为默认,鎖定的模型不能設為預設,A locked model cannot be made the default,Un modèle verrouillé ne peut pas devenir le modèle par défaut,ロック中のモデルを既定にはできません,잠긴 모델은 기본으로 설정할 수 없습니다,Заблокированную модель нельзя сделать моделью по умолчанию,Un modelo bloqueado no puede establecerse como predeterminado,Ein gesperrtes Modell kann nicht zum Standard werden,Um modelo bloqueado não pode ser definido como padrão,Model terkunci tidak dapat dijadikan default,لا يمكن تعيين نموذج مقفل كافتراضي
