key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
值,值,值,value,valeur,値,값,значение,valore,wert,Os valores,nilai,القيمة
备注,备注,備註,Remark,remarques,備考です,비고,примечан,comentar,bemerkungen,observações,catatan,ملحوظة رقم
用户名,用户名,用戶名,Account,Nom de l’utilisateur,ユーザー名です,사용자 이름,Имя пользователя.,Nombre de usuario,benutzername,Nome de usuário,Nama pengguna,اسم المستخدم
姓名,姓名,姓名,Name,Le nom,名前です,이름,им,Los nombres,"Namen, bitte?",O nome,nama,أسماء
负责组织,负责组织,負責組織,Responsible Organization,Organisation Responsable,責任組織,책임 조직,Ответственная Организация,Organización Responsable,Verantwortliche Organisation,Organização Responsável,Organisasi yang Bertanggung Jawab,المنظمة المسؤولة
密码,密码,密碼,Password,Les mots de passe,パスワードです,암호,код,La contraseña,kennwort,senha,kode,كلمة المرور
确认密码,确认密码,確認密碼,Confirm password,Confirmer le mot de passe,パスワードを確認します,비밀번호 확인,Подтвердите код.,Confirme su contraseña,Passwort bestätigt.,Confirme a senha,Konfirmasi sandi,تأكيد كلمة المرور
md5加密,md5加密,md5加密,MD5 encrypt,Cryptage avec md5,md5暗号化です,md5 암호화,Md5 зашифровано,Cifrado con md5,Das md5 ist verschlüsselt.,Criptografia com md5,Enkripsi md5.,مشفر MD5.
重置密码时间,重置密码时间,重置密碼時間,Reset password time,Réinitialiser le mot de passe time,パスワード時間をリセットします,비밀번호 초기화 시간,Перезагрузка.,Restablecer tiempo de contraseña,Das passwort zurücksetzen.,Redefinir tempo de senha,Atur ulang waktu kata sandi,إعادة ضبط وقت كلمة المرور
账号失效时间,账号失效时间,賬號失效時間,Account expiration time,Temps d’expiration du compte,アカウント失効期間です,계정 유효기간,Время истечения срока действия счета,Tiempo de caducidad de cuenta,Die kontonummer werden gelöscht,Tempo de expiração da conta,Waktu gagal akun,وقت انتهاء الحساب
超管用户,超管用户,超管用戶,Admin user,Surtube pour les utilisateurs,スーパーチューブ利用者です,하이퍼튜브 사용자,Пользователь с перетрубкой,Supertube para usuarios,Den benutzer,Supertube para usuários,Pengguna ultra,العملاء
重置密码,重置密码,重置密碼,Reset password,Réinitialiser votre mot de passe,パスワードをリセットします,비밀번호 초기화,Перезагрузка.,Restablecer la contraseña,Das passwort zurücksetzen.,Redefinir senha,Atur ulang kata sandi anda,إعادة ضبط كلمة المرور
加密,加密,加密,encipher,chiffrement,暗号化です,암호화,зашифрова,cifrado,verschlüsselung,encriptação,Terenkripsi.,التشفير
不加密,不加密,不加密,No encryption,Pas de cryptage,暗号化しません,암호화하지 않음,Нет.,Sin encriptación,Keine verschlüsselung.,Sem criptografia disponível,Tidak terenkripsi,غير مشفر
激活,激活,激活,Activate,l’activation,活性化します,활성화,активирова,activar,Aktiviere jetzt.,activar,aktifkan,تفعيل
锁定,锁定,鎖定,lock,verrouillage,ロックです,잠금,блокировк,cerrado,Ziel erfasst.,Fixado.,kunci,قفل
启用,启用,啟用,enable,Le lancement,起用します,사용 하기,открыт,activar,Einschalten.,activar,Dan online.,تشغيل
禁用,禁用,禁用,forbidden,interdits,無効です,사용 안 함,отключ,deshabilitar,Deaktivieren.,desactivar,dinonaktifkan,تعطيل
隐藏,隐藏,隱藏,Hidden,cachée,隠します,숨기기,спрята,ocultar,Versteckt?,esconder,tersembunyi,إخفاء
,,,,,,,,,,,,
ip白名单,ip白名单,ip白名單,Ip white list,Liste blanche ip,ホワイトリストです,ip 화이트 리스트,Белый ip-список,Lista blanca de ip,Die ip-liste.,Lista branca de ip,Daftar ip putih,قائمة IP أبيض
所属角色,所属角色,所屬角色,Role,Le rôle affilié,所属しています,소속배역,Принадлежность к роли,Rol al que pertenece,Teil um,Funções a que pertence,Peran peran,شخصيتك
手机号码,手机号码,手機號碼,Phone,Numéro de téléphone,携帯電話番号です,핸드폰 번호,Номер телефона.,Teléfono móvil,Sein handy.,Número de celular,Nomor ponsel,رقم الهاتف
所属组织,所属组织,所屬組織,Org,Les organisations affiliées,所属組織です,산하 조직,Принадлежность к организации,Organizaciones afiliadas,Die organisation.,Organizações a que pertence,Milik organisasi,المنظمة التي تنتمي إليها
岗位,岗位,崗位,Post,emplois,持ち場です,일자리를,пост,Puestos de trabajo,Gefechtsstellung.,Postos de trabalho,posisi,الوظائف
账户状态,账户状态,賬戶狀態,Status,Statut du compte,口座状態です,계정 상태,Статус счета.,Estado de cuenta,Kontostand steht.,Status da conta,Status akun,حالة الحساب
邮箱,邮箱,郵箱,Email,La boîte aux lettres,メールボックスです,메일 박스,Почтов ящик,dirección,Briefkasten.,Caixa de correio,Kotak surat.,صندوق البريد
首页菜单,首页菜单,首頁菜單,Home menu,Accueil menu menu,トップページのメニューです,홈페이지 메뉴,Меню на первой странице,Página principal menú,Das titelblatt.,Página inicial menu,Menu rumah,القائمة الرئيسية
状态,状态,狀態,Status,l’état,状態です,상태,состоян,El estado,Versetzen.,estado,keadaan,حالة
操作权限,操作权限,操作權限,Operation permissions,Autorisations de fonctionnement,操作権限です,작업 권한,Доступ к операции,Permisos de operación,Zugriff gewährt,Permissões de operação,Hak operasi,الدخول
菜单权限,菜单权限,菜單權限,Menu permissions,Accès au menu,メニュー権限です,메뉴 권한,Доступ к меню,Permisos de menú,Menü berechne,Permissões no menu,Hak akses menu,دخول القائمة
包含用户,包含用户,包含用戶,Contain user,Inclure un utilisateur,ユーザーを含みます,사용자 포함,Включать пользователей,Incluye un usuario,Inklusive benutzer?,Incluir um usuário,Termasuk pengguna,يشمل المستخدمين
菜单类型,菜单类型,菜單類型,Menu type,Type de menu,メニュータイプです。,메뉴 종류,Тип меню,Tipo de menú,Typ 3: menütypen,Tipo de menu,Jenis menu,نوع القائمة
类型值,类型值,類型值,Menu value,Type valeur valeur,型値です,형식 값,Значение типа,Tipo valor valor,Art werte.,Tipo valor valor,Nilai jenis,قيمة النوع
顺序,顺序,順序,Order,La séquence,順番です,순서,последовательн,orden,Horns.,ordem,urutan,الترتيب
图标,图标,圖標,Icon,Les icônes,アイコンです,아이콘,иконк,El icono,Icons.,ícones,ikon,أيقونة
上级菜单,上级菜单,上級菜單,Parent,Le menu supérieur,上級メニュー,상위 메뉴,Меню начальства,Menú superior,Das menü oben.,Menu superior superior,Menu superior,قائمة الأعلى
自定义参数,自定义参数,自定義參數,Customer param,Personnalisez vos paramètres,カスタムパラメータです,사용자 정의 인자,Самоопределение параметра,Personaliza tus parámetros,Definierte parameter,Personalize seus parâmetros,Parameter khusus,البارامترات المحددة
组织编码,组织编码,組織編碼,Org code,Organisation et codage,組織コードです,조직 인코딩,Код ткани,Organización y codificación,Organisations-code.,Organização e codificação,Kode jaringan,رمز التنظيم
组织名称,组织名称,組織名稱,Org name,Nom de l’organisation,組織名です,조직 이름,Организационное имя,Nombre de la organización,Name der organisation:,Nome da organização,Nama organisasi,اسم المنظمة
上级组织,上级组织,上級組織,Parent org,Les organisations supérieures,上級組織です,상급 조직,Организация высшего порядка,Organización superior,Die organisation.,A organização superior,Lebih tinggi organisasi,المنظمة العليا
显示顺序,显示顺序,顯示順序,Order,Afficher la commande,表示順序です,표시 순서,Покажи последовательность.,Mostrar el orden,Reihenfolge:,Ordem de exibição,Urutan tampilan,عرض الترتيب
岗位编码,岗位编码,崗位編碼,Code,Code du poste,ポストコードです,직위 인코딩,Код поста,Código de posición,Die bypass-codes.,Código do post,Posting coding,رمز الموقع
岗位名称,岗位名称,崗位名稱,Name,Nom du poste,持ち場の名前です,직책 명칭,Название поста,Nombre del post,Name der arbeitsplätze,Nome do post,Nama posting,اسم الموقع
岗位权重,岗位权重,崗位權重,Weight,Poids du poste,ポジションの重みです。,직위의 영향력,Вес поста,Peso del post,Posten bezogen.,Peso da posição,Tugas berat,الموقع، الوزن
用户,用户,用戶,User,Les utilisateurs,ユーザーです,사용자,пользовател,El usuario,Oder benutzer.,utilizador,Pengguna.,المستعملين
操作人,操作人,操作人,operator,Les opérateurs,人を操作します,오퍼레이터,Оператор.,operador,Das würde ich nie tun.,O operador,Seorang operator,المشغل
错误信息,错误信息,錯誤信息,Error message,Message d’erreur message,エラー情報です,오류 메시지,Ложная информация.,Mensaje de error,Falsche informationen,Mensagem de erro,Informasi salah,معلومات خاطئة
登录时间,登录时间,登錄時間,Login time,Temps de connexion,登録時間です,로그인 시간,Время входа.,Hora de inicio,Zeit für logins.,Tempo de login,Log masuk waktu,وقت تسجيل الدخول
IP地址,IP地址,IP地址,Ip address,Votre adresse IP,IPアドレスです,ip 주소,IP адрес.,Dirección IP,Die ip-adresse.,O endereço IP,Alamat IP,عنوان IP
IP来源,IP来源,IP來源,Op source,Origine de IP,IPソースです,ip 소스,IP-адрес.,Origen de IP,Die ip-quelle.,Origem do IP,IP sumber,آي بي
操作系统,操作系统,操作系統,OS,Le système d’exploitation,osです,오퍼레이션 시스템,Операционная система,Sistema operativo,Das betriebssystem.,O sistema operacional,Sistem operasi,نظام التشغيل
浏览器,浏览器,瀏覽器,Browser,navigateur,ブラウザです,브라우저,браузер,explorador,Der browser?,navegador,peramban,المتصفح
设备类型,设备类型,設備類型,Device type,Type de matériel,装置の種類です,장치 종류,Тип оборудования,Tipos de equipos,Arten Von gerät?,Tipo de equipamento,Tipe divais,نوع الجهاز
功能名称,功能名称,功能名稱,Function name,Nom de fonction,機能名です,기능 이름,Функциональное имя,Nombre de función,Titel der funktion,Nome da função,Nama fungsi,الاسم الوظيفي
请求参数,请求参数,請求參數,Req param,Paramètres de requête,パラメータを要求します,요청 인자,Параметр запроса,Parámetros de solicitud,Erwarte parameter.,Parâmetros de solicitação,Meminta parameter,طلب البارامترات
是否成功,是否成功,是否成功,Is success,Avec ou sans succès,成功したかどうかです,성공 여부,Успех или нет?,Tener éxito o no,Es ist uns gelungen.,Tenha sucesso ou não,Berhasil atau tidak,هل نجح؟
请求耗时,请求耗时,請求耗時,Req time,La demande prend du temps,お願いには時間がかかります,요청 시간,Время запроса,La solicitud consume tiempo,"Äh, zeit wofür?",Requisição demorada,Permintaan memakan waktu,الطلب يستغرق وقتا
记录时间,记录时间,記錄時間,Record time,Temps de record,時間を記録します,기록 시간,Время записи.,Tiempo de grabación,Zeit zum aufzeichnen.,Tempo de gravação,Catatan waktu,سجل الوقت
请求地址,请求地址,請求地址,URL,Adresse de demande,請求先です,주소 요청,Запрашиваю адрес.,Dirección de solicitud,"Okay, wie lautet die adresse?",Endereço do pedido,Meminta alamat,عنوان الطلب
请求方法,请求方法,請求方法,Method,Méthode de demande,請求方法です,요청 방법,Способ просьбы,Método de solicitud,Nenn mir eine methode.,Método de solicitação,Cara meminta,طريقة الطلب
强退,强退,強退,Strong back,Forts de la restitution,強退です,강 퇴,Сильн назад,Denuncia fuerte,Strengen sie sich an!,Forte de volta,Kuat!,تراجع أقوى
实体类名,实体类名,實體類名,Entity class name,Nom de classe d’entité,実体クラス名です,엔티티 클래스 이름,Настоящее имя класса,Nombre de clase de entidad,Namen für körper.,Nome da classe de entidade,Nama kelas entitas,أسماء الكيانات
表名,表名,表名,Table name,Tableau de,表名です,표 명,Час из,Tabla de,Name einer tabelle,mesa,Nama.,يحدث ذلك من
简介,简介,簡介,intro,introduction,プロフィール,간단 한 소개,профил,perfil,Klappentext?!,introdução,profil,موجز
字段管理,字段管理,字段管理,Field management,Gestion des champs,フィールド管理です,필드 관리,Управление полем,Gestión de campos,Verwaltung des feldes,Gestão de campos,Bidang administrasi,إدارة الحقول
字段名,字段名,字段名,Field name,Nom du champ,フィールド名です,필드 이름,Имя поля.,Nombre del campo,feldnamen,Nome do campo,Nama lapangan,اسم الحقل
显示名称,显示名称,顯示名稱,Display name,Afficher le nom,名前を表示します,이름 보이기,Назовите имя.,Mostrar el nombre,Gib mir den namen.,Nome de exibição,Nama tampilan,اعرض الاسم
编辑类型,编辑类型,編輯類型,Edit type,Type de montage,編集タイプです,형식 편집,Редакторский тип,Tipo de edición,Art des editors,Tipo de edição,Sunting tipe,نوع التحرير
查询项,查询项,查詢項,Query item,Rechercher un article,問い合わせ項目です,조회 항목,Запрос.,Buscar un artículo,Namen für die abfrage,Item de pesquisa,Item kueri,البحث
字段排序,字段排序,字段排序,Field sort,Trier par champs,フィールド並べ替えです,필드 정렬,Поле в порядке,Ordenar por campos,Feldnamen sind codiert,Ordenar por campos,Kolom diurutkan,ترتيب الحقول
关联实体类,关联实体类,關聯實體類,Associated entity class,Classe d’entité associée,関連実体クラスです,연결된 개체 클래스,Ассоциированный класс,Clase de entidad asociada,Organisationseinheiten. Klasse.,Classe de entidade associada,Mengkorelasi kelas entitas,الكيانات المرتبطة
是否必填,是否必填,是否必填,Required or not,Oui non obligatoire,必ず記入しますか,기입해야 하는지,Будет ли он заполнен?,Sí no requerido,Sie mussten es tun.,Sim não é obrigatório,Apakah harus mengisi,هل ستملأ؟
是否显示,是否显示,是否顯示,Show or not,Afficher ou non,表示されますか,표시할지 여부,Показать?,Mostrar sí no,Ist es eingeschaltet?,Mostrar sim não,Apakah itu menunjukkan,هل يظهر
代码预览,代码预览,代碼預覽,Code preview,Aperçu du code,プレビューコードです,코드 미리보기,Предварительный просмотр кода,Vista previa del código,Vorschau des codes.,Pré-visualização do código,Pratilik kode,معاينة رموز
[menu],,,,,,,,,,,,
首页,首页,首頁,Home,La maison,トップページです,첫 페이지,Главн страниц,En la primera página,Die titelseite.,Ficha técnica,Halaman depan,الصفحة الأولى
系统管理,系统管理,系統管理,System management,Gestion du système,システム管理です,시스템 관리,Управление системой,Administración del sistema,Hartes system,Gestão do sistema,Manajemen sistem,إدارة النظام
菜单管理,菜单管理,菜單管理,Menu maintenance,Maintenance du menu,メニューメンテナンスです,메뉴 관리,Обслуживание меню,Mantenimiento del menú,Alles über dich.,Gestão de menus,Manajemen menu,إدارة القائمة
角色管理,角色管理,角色管理,Role maintenance,Maintien des rôles,キャラクターメンテナンスです,역할 관리,Уход за персонажами,Mantenimiento de roles,Kollaboratives management.,Gestão de funções,Manajemen peran,إدارة الأدوار
组织管理,组织管理,組織管理,Organization maintenance,Organisation et maintenance,メンテナンス組織です,조직 유지,Организационное обслуживание,Organización y mantenimiento,Organisationsweites management.,Organização e gestão,Manajemen organisasi,الإدارة التنظيمية
岗位管理,岗位管理,崗位管理,Post maintenance,Maintien des postes,雇用維持です,직무 유지,Уход за постом,Mantenimiento del puesto,B.O.B. :,Gestão de posts,Penempatan manajemen,إدارة الموقع
用户管理,用户管理,用戶管理,User maintenance,Maintenance des utilisateurs,ユーザーメンテナンス,사용자 보호,Обслуживание пользователя,Mantenimiento por usuarios,Regieren der benutzer.,Gestão de usuários,Manajemen pengguna,إدارة المستخدمين
数据字典,数据字典,數據字典,Dictionary maintenance,Maintenance du dictionnaire,辞書メンテナンスです,사전 관리,Уход за словарем,Mantenimiento del diccionario,Ein datenwörterbuch.,Dicionário de dados,Kamus data,قاموس البيانات
字典项,字典项,數據項,Dictionary item,Élément de dictionnaire,辞書項目,사전 항목,Элемент словаря,Elemento de diccionario,Wörterbucheintrag,Item do dicionário,Item kamus,عنصر القاموس
菜单维护,菜单维护,菜單維護,Menu maintenance,Maintenance du menu,メニューメンテナンスです,메뉴 관리,Обслуживание меню,Mantenimiento del menú,Menü-wartung.,Manutenção do menu,Pemeliharaan menu,صيانة القائمة
角色维护,角色维护,角色維護,Role maintenance,Maintien des rôles,キャラクターメンテナンスです,역할 관리,Уход за персонажами,Mantenimiento de roles,Rollenerhaltung und bewachung,Manutenção do papel,Perawatan peran,صيانة الشخصية
组织维护,组织维护,組織維護,Organization maintenance,Organisation et maintenance,メンテナンス組織です,조직 유지,Организационное обслуживание,Organización y mantenimiento,Hier ist der organisator.,Organização e manutenção,Perawatan organisasi,صيانة المنظمة
岗位维护,岗位维护,崗位維護,Post maintenance,Maintien des postes,雇用維持です,직무 유지,Уход за постом,Mantenimiento del puesto,Achtung achtung,Manutenção da posição,Pos pemeliharaan,صيانة الموقع
用户维护,用户维护,用戶維護,User maintenance,Maintenance des utilisateurs,ユーザーメンテナンス,사용자 보호,Обслуживание пользователя,Mantenimiento por usuarios,Die wartung.,Manutenção para usuários,Pemeliharaan pengguna,صيانة المستخدمين
字典维护,字典维护,字典維護,Dictionary maintenance,Maintenance du dictionnaire,辞書メンテナンスです,사전 관리,Уход за словарем,Mantenimiento del diccionario,Gültig im wörterbuch,Manutenção do dicionário,Pemeliharaan kamus,صيانة القواميس
登录日志,登录日志,登錄日誌,Entry log,Log de connexion,ログを登録する,로그인 로그,Регистрационный журнал.,Iniciar sesión log,Und loggen.,Log de login,Log masuk,سجل الدخول
在线用户,在线用户,在線用戶,Online user,Utilisateurs en ligne,オンラインユーザーです,온라인 사용자,Онлайн.,Usuarios en línea,Benutzer jetzt,Usuários online online,Pengguna online,مستخدم على الانترنت
操作日志,操作日志,操作日誌,Operation log,Journal des opérations,操作履歴です,작업 로그,Журнал операций.,Registro de operaciones,"Captains, logbuch.",Logs de operações,Catatan operasi,سجل التشغيل
系统日志,系统日志,系統日誌,System Log,Journal système,システム ログ,시스템 로그,Системный журнал,Registro di sistema,Das system logbuch,Logs do sistema,Log sistem,سجل النظام
代码生成,代码生成,代碼生成,Code generation,Génération de code,コード生成です,코드 생성,Генерация кода,Generación de código,Programm gestartet.,Geração de código,Kode generasi,توليد الشفرة
生成Erupt代码,生成Erupt代码,生成Erupt代碼,Erupt code is generated,Générer du code Erupt,Eruptコードを生成します,erupt 코드를 생성한다,Генерирует код эрупта,Generando código Erupt,Wurde sperrtext erstellt,Gerar código Erupt,Menghasilkan kode Erupt,توليد رمز ERUPT
更新秘钥,更新秘钥,更新密鑰,Update secret key,Mettre à jour la clé secrète,更新キー,업데이트 키,Обновление секретного ключа,Aggiornamento della chiave segreta,Den schlüssel erneuern,Atualizar chave secreta,Memutakhirkan kunci-kunci.,تحديث المفتاح
Token有效期,Token 有效期,Token 有效期,Token validity period,Période de validité du token,トークン有効期間,토큰 유효 기간,Срок действия токена,Periodo di validità del token,Ich trag die geschäftsvereinbarung.,Validade do Token,Token Token,توكين صالحة
绑定用户权限,绑定用户权限,綁定用戶權限,Bind user permissions,Lier les autorisations d'utilisateur,ユーザー権限のバインド,사용자 권한 바인딩,Привязка прав пользователя,Vincolare i permessi dell'utente,Definiert die zugriffsrechte,Vincular direitos de usuário,Mengikat akses pengguna,ربط إذن المستخدم
秘钥,秘钥,密鑰,Secret key,Clé secrète,秘密鍵,비밀 키,Секретный ключ,Chiave segreta,Ein schlüssel.,A chave secreta,Kunci rahasia.,سكرتير الإفتراضى
国家 | 大区 | 省份 | 城市 | 运营商,国家 | 大区 | 省份 | 城市 | 运营商,国家 | 大区 | 省份 | 城市 | 运营商,Country | Region | Province | City | ISP,Pays | Région | Province | Ville | Opérateur,国 | 地域 | 省 | 都市 | プロバイダー,국가 | 권역 | 도 | 시 | 통신사,Страна | Регион | Провинция | Город | Оператор,País | Región | Provincia | Ciudad | Operador,Land | Region | Provinz | Stadt | Anbieter,País | Região | Província | Cidade | Operadora,Negara | Wilayah | Provinsi | Kota | Penyedia layanan,الدولة | المنطقة | المحافظة | المدينة | مزود الخدمة
