key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
erupt.upload_error.file_format,上传失败，不被允许的文件格式,上傳失敗，不被允許的文件格式,"Upload failed, the file format is not allowed","Le téléchargement a échoué, formats de fichiers non autorisés",アップロードの失敗、許可されないファイル形式です。,업로드에 실패했습니다. 허용되지 않은 파일 형식입니다,"Загрузка не удалась, несанкционированный формат файла","La carga falló, el formato de archivo no está permitido como",Fehler beim upload. Das nicht erlaubte format der datei,"Falha no upload, formatos de arquivo não permitidos","Upload gagal, file format tidak diijinkan",تحميل ملفّ غير مسموح به
erupt.upload_error.size,上传失败，文件大小不能超过,上傳失敗，文件大小不能超過,Failed to upload. The file size cannot exceed,"Le téléchargement a échoué, la taille du fichier ne peut pas dépasser",アップロードに失敗し、ファイルサイズを超えられません。,업로드에 실패했습니다.이 파일 크기는 초과할 수 없습니다,"Загрузка не удалась, файл не может быть больше",La carga falló. El tamaño del archivo no puede exceder,Das hochladen ist fehlgeschlagen. Die datei darf nicht größer sein,O upload falhou. O tamanho do arquivo não pode exceder,"Upload gagal, ukuran berkas tidak boleh terlampaui",تحميل فشل، لا يمكن تجاوز حجم الملف
erupt.upload_error.not_image,获取图片流失败，请确认上传文件为图片,獲取圖片流失敗，請確認上傳文件為圖片,Failed to obtain the image stream. Please ensure that the uploaded file is an image,"Échec de l’obtention du flux d’images, veuillez confirmer que le fichier téléchargé est une image",画像ストリームの取得に失敗しました。アップロードされたファイルが画像であることを確認してください。,그림 스트림을 가져오는 데 실패했습니다. 파일을 그림으로 업로드했는지 확인하십시오,Подтвердите загрузку файла на изображение,"Error al obtener el flujo de imágenes. Por favor, asegúrese de subir el archivo como una imagen","Foto abfangen fehlgeschlagen. Bitte bestätigen sie, dass sie die datei als bild hochgeladen haben","Falha ao obter o fluxo de imagens. Por favor, verifique se o arquivo carregado é uma imagem","Gagal mendapatkan aliran gambar, konfirmasi upload berkas sebagai gambar",فشل الحصول على تدفق الصورة، يرجى تأكيد تحميل الملف كصورة
erupt.upload_error.image_width,上传失败，图片宽度不在范围内,上傳失敗，圖片寬度不在範圍內,"Upload failed, image width is not in range","Le téléchargement a échoué, la largeur de l’image n’est pas dans la plage",アップロードに失敗した場合、画像の幅が範囲にありません。,그림 너비가범위에 없으므로 업로드에 실패했습니다,"Загрузка не удалась, ширина изображения не в пределах","La carga falló, el ancho de la imagen no está dentro del",Fehler beim hochladen. Bild ist außerhalb der breite,"O upload falhou, a largura da imagem não está dentro do intervalo",Upload gagal lebar gambarnya tidak ada dalam jangkauan,تحميل فشل التحميل، عرض الصورة خارج النطاق
erupt.upload_error.image_height,上传失败，图片高度不在范围内,上傳失敗，圖片高度不在範圍內,"Upload failed, image height is not in range","Le téléchargement a échoué, la hauteur de l’image n’est pas dans la plage",アップロードに失敗した場合、画像の高さが範囲にありません。,그림 높이가범위에 없으므로 업로드에 실패했습니다,"Загрузка не удалась, высота изображения не в пределах диапазона","La subida falló, la altura de la imagen no está dentro del",Es ist verbockt. Bild außer reichweite,"Falha no upload, a altura da imagem não está dentro do alcance",Upload gagal,تحميل فشل، ارتفاع الصورة ليس ضمن النطاق
erupt.data.data_duplication,数据重复,數據重復,Data duplication,Duplication des données,データが重複します。,데이터가 중복되다.,Повторение данных,Duplicación de datos,Ich wiederhole die daten.,Duplicação de dados,Pengulangan data,تكرار البيانات
erupt.data.delete_fail_may_be_associated_data,删除失败，请检查关联数据,刪除失敗，請檢查關聯資料,Deletion failed. Please check for associated data.,Échec de la suppression. Veuillez vérifier les données associées.,削除に失敗しました。関連データを確認してください.,삭제 실패. 관련 데이터를 확인해 주세요.,Ошибка удаления. Проверьте связанные данные.,Error al eliminar. Verifique los datos asociados.,Löschen fehlgeschlagen. Bitte prüfen Sie verknüpfte Daten.,Falha ao excluir. Verifique os dados associados.,Gagal menghapus. Silakan periksa data terkait.,فشل الحذف. يرجى التحقق من البيانات المرتبطة.
erupt.data.limit_length,内容超出数据库限制长度,內容超出數據庫限製長度,The content exceeds the database limit length,Contenu au-delà de la longueur limite de la base de données,コンテンツがデータベースの制限長を超えています,내용이 데이타베이스 제한을 초과했습니다,Содержание вне предельной длины базы данных,Contenido fuera del límite de longitud de base de datos,Der inhalt ist über die dauer der datenbank hinaus begrenzt,Conteúdo fora do comprimento limite do banco de dados,Isinya melampaui batas database,يتجاوز المحتوى الحد الأقصى لقاعدة البيانات
创建人,创建人,創建人,founder,Le créateur,設立者です,창립자,Создатель.,creador,Der gründer.,O criador,pendiri,مؤسس
创建时间,创建时间,創建時間,Creation time,Temps de création,作成時間です,만든 시간,Создание времени,Hora de creación,Zeit kreieren?,Hora de criação,Buat waktu,خلق الوقت
更新人,更新人,更新人,regenerator,Renouveler la personne,人を更新します,갱신자,Обновление.,Renovar la persona,erneuerung,Renovar a pessoa,Update manusia,تحديث
更新时间,更新时间,更新時間,Update time,Temps de mise à jour,更新時間です,업데이트 시간,Время обновления.,Hora de actualización,Aktualisiert die zeit!,Tempo de atualização,Untuk memperbarui waktu,تحديث الوقت
数据审计,数据审计,數據審計,Data audit,Audit des données,データ監査です,데이터 감사,Проверка данных,Auditoría de datos,Prüfung Von daten,Auditoria de dados,Audit data,مراجعة البيانات
表格视图,表格视图,表格視圖,Table view,Vue de table,テーブルグラフです,테이블 보기,Вид на таблицу,Vista de tabla,view,Vista da tabela,Tampilan tabel,عرض الجدول
树状视图,树状视图,樹狀視圖,Tree view,Vue en arbre,樹形図です,트리 보기,Вид на дерево,Vista en árbol,Tieransicht in baumform,Vista em árvore,Tampilan seperti pohon,عرض شجرة
功能按钮,功能按钮,功能按鈕,Function button,Bouton de fonction,機能ボタンです,기능 단추,Функциональная кнопка,Botón de función,Dykfunktion funktion,Botão de função,Tombol fungsional,زر الوظيفي
接口名称,接口名称,接口名稱,Interface name,Nom de l’interface,インタフェース名です,인터페이스 이름,Имя интерфейса,Nombre de interfaz,Name: schnittstelle.,Nome da interface,Nama antarmuka,اسم واجهة
框架内打开链接,框架内打开链接,框架內打開鏈接,Open the link in the frame,Ouvrir le lien dans le cadre,リンクを開きます,프레임에서 링크를 엽니다,Откройте связь внутри фреймворка,Enlace abierto dentro del marco,Die verknüpfung innerhalb des rahmens öffnen,Abrir link dentro do quadro,Buka link di frame,افتح الرابط داخل الإطار
新窗口打开链接,新窗口打开链接,新窗口打開鏈接,A new window opens the link,Nouvelle fenêtre ouvrir le lien,新しいウィンドウを開きますリンク,새 창이 링크를 엽니다,Новое окно открывает связь,Nueva ventana abre el enlace,Neue fenster öffnen den link,Nova janela abrir link,Tautan pembuka jendela baru,النافذة الجديدة تفتح الرابط
本窗口打开链接,本窗口打开链接,本窗口打開鏈接,This window opens the link,Cette fenêtre ouvre le lien,このウィンドウはリンクを開きます。,이 창에서 링크를 엽니다,Это окно открывает связь,Esta ventana abre el enlace,Hier öffnen sie den link,Esta janela abre o link,Tautan ke jendela ben,هذه النافذة مفتوحة الرابط
充满屏幕,充满屏幕,充滿屏幕,Fill the screen,Remplissez votre écran,スクリーンいっぱいです,화면 채우기,Полный экран.,Llena la pantalla,Das ist voll.,Encha a tela,Layar penuh,مليئة بالشاشة
页面路由,页面路由,頁面路由,Page routing,Itinéraire des pages,ページルーティングです,페이지 라우팅,Маршрутизация страницы,Ruta de páginas,Seiten und router,Rota de páginas,Rute halaman,توجيه الصفحة
多维报表,多维报表,多維報表,Multidimensional report,Rapports multidimensionnels,多次元レポートです,다웨이 보고서,Многомерный отчет,Informes multidimensionales,Einen multidimensionalen bericht.,Relatórios multidimensionais,Laporan interdimensional,بيانات متعددة الأبعاد
menu_type_tpl_iframe,自定义页面（iframe）,自定義頁面（iframe）,custom page (iframe),page personnalisée (iframe),カスタムページ（iframe）,사용자 정의 페이지(iframe),пользовательская страница (iframe),pagina personalizzata (iframe).,"Seiten, die eindefiniert sind (iframe)",Página personalizada (iframe),Halaman suai (iframe),صفحة مخصصة (IFRME)
menu_type_tpl_micro,自定义页面（微前端）,自定義頁面（微前端）,custom page (micro frontend),page personnalisée (micro-frontend),カスタムページ（マイクロフロントエンド）,사용자 정의 페이지(마이크로 프론트엔드),пользовательская страница (микрофронтенд),pagina personalizzata (micro-frontend).,Seiten werden benutzerdefiniert (in der vorderseite),Páginas personalizadas (micro front-end),Halaman suai (ujung mikro),صفحة مخصصة (مقدمة مصغرة)
