key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
Foundation,地基,地基,Foundation,Socle,土台,기반,Фундамент,Base,Fundament,Base,Fondasi,الأساس
Deep chains,深链,深鏈,Deep chains,Chaînes profondes,深いチェーン,깊은 연쇄,Глубокие цепи,Cadenas profundas,Tiefe Ketten,Cadeias profundas,Rantai dalam,السلاسل العميقة
By level,按层级,按層級,By level,Par niveau,階層別,레벨별,По уровням,Por nivel,Nach Ebene,Por nível,Per level,حسب الطبقة
Stands on it,承载数,承載數,Stands on it,S'appuient dessus,依存している数,이것에 의존,Зависит от него,Se apoyan en él,Stützen sich darauf,Apoiam-se nele,Bergantung padanya,يعتمد عليه
Direct,直接,直接,Direct,Direct,直接,직접,Напрямую,Directo,Direkt,Direto,Langsung,مباشر
By distance,按距离,按距離,By distance,Par distance,距離別,거리별,По расстоянию,Por distancia,Nach Distanz,Por distância,Per jarak,حسب المسافة
Dependency cycles,循环依赖,循環依賴,Dependency cycles,Cycles de dépendance,循環依存,순환 의존,Циклы зависимостей,Ciclos de dependencia,Abhängigkeitszyklen,Ciclos de dependência,Siklus dependensi,دورات الاعتماد
Shared tables,共用表,共用表,Shared tables,Tables partagées,共有テーブル,공유 테이블,Общие таблицы,Tablas compartidas,Geteilte Tabellen,Tabelas partilhadas,Tabel bersama,الجداول المشتركة
Isolated models,孤立模型,孤立模型,Isolated models,Modèles isolés,孤立したモデル,고립된 모델,Изолированные модели,Modelos aislados,Isolierte Modelle,Modelos isolados,Model terisolasi,النماذج المعزولة
"Entity, no menu",实体无菜单,實體無選單,"Entity, no menu",Entité sans menu,メニュー無しの実体,메뉴 없는 엔티티,Сущности без меню,Entidad sin menú,Entität ohne Menü,Entidade sem menu,Entitas tanpa menu,كيان بلا قائمة
Models sharing one table,共用同一张表的模型,共用同一張表的模型,Models sharing one table,Modèles partageant une table,同一テーブルを共有するモデル,한 테이블을 공유하는 모델,Модели на одной таблице,Modelos que comparten una tabla,Modelle mit gemeinsamer Tabelle,Modelos que partilham uma tabela,Model yang berbagi satu tabel,نماذج تتشارك جدولاً واحداً
Entity models with no menu,没有菜单的实体模型,沒有選單的實體模型,Entity models with no menu,Modèles entité sans menu,メニューのない実体モデル,메뉴가 없는 엔티티 모델,Модели-сущности без меню,Modelos de entidad sin menú,Entitätsmodelle ohne Menü,Modelos de entidade sem menu,Model entitas tanpa menu,نماذج كيانات بلا قائمة
Loading…,加载中…,載入中…,Loading…,Chargement…,読み込み中…,불러오는 중…,Загрузка…,Cargando…,Wird geladen…,A carregar…,Memuat…,جارٍ التحميل…
Failed to load,加载失败,載入失敗,Failed to load,Échec du chargement,読み込みに失敗しました,불러오지 못했습니다,Не удалось загрузить,Error al cargar,Laden fehlgeschlagen,Falha ao carregar,Gagal memuat,فشل التحميل
No erupt model is registered,没有注册任何 erupt 模型,沒有註冊任何 erupt 模型,No erupt model is registered,Aucun modèle erupt n'est enregistré,erupt モデルが登録されていません,등록된 erupt 모델이 없습니다,Ни одна модель erupt не зарегистрирована,No hay ningún modelo erupt registrado,Es ist kein erupt-Modell registriert,Não há nenhum modelo erupt registado,Tidak ada model erupt yang terdaftar,لا يوجد أي نموذج erupt مسجل
No structural relation to level,没有可分层的结构关系,沒有可分層的結構關係,No structural relation to level,Aucune relation structurelle à classer,階層化できる構造関係がありません,레벨을 매길 구조 관계가 없습니다,Нет структурных связей для уровней,No hay relaciones estructurales que clasificar,Keine strukturelle Beziehung zum Einordnen,Não há relações estruturais para classificar,Tidak ada relasi struktural untuk dilevelkan,لا توجد علاقة بنيوية قابلة للتصنيف
models carry no structural relation and are not levelled,"个模型没有结构关系，未参与分层","個模型沒有結構關係，未參與分層",models carry no structural relation and are not levelled,modèles sans relation structurelle ne sont pas classés,件のモデルは構造関係を持たず階層化されません,개 모델은 구조 관계가 없어 레벨이 없습니다,моделей без структурных связей не размещены по уровням,modelos sin relación estructural no se clasifican,Modelle ohne strukturelle Beziehung werden nicht eingeordnet,modelos sem relação estrutural não são classificados,model tanpa relasi struktural tidak dilevelkan,نموذجاً بلا علاقة بنيوية ولم تُصنَّف
No foundation model in this domain.,该域没有地基模型。,該域沒有地基模型。,No foundation model in this domain.,Aucun modèle socle dans ce domaine.,このドメインに土台のモデルはありません。,이 도메인에는 기반 모델이 없습니다.,В этом домене нет базовых моделей.,No hay modelos base en este dominio.,Kein Fundamentmodell in dieser Domäne.,Não há modelos base neste domínio.,Tidak ada model fondasi di domain ini.,لا يوجد نموذج أساس في هذا النطاق.
No chain runs deeper than two levels.,没有超过两层的依赖链。,沒有超過兩層的依賴鏈。,No chain runs deeper than two levels.,Aucune chaîne ne dépasse deux niveaux.,2 階層を超えるチェーンはありません。,두 단계를 넘는 연쇄가 없습니다.,Ни одна цепь не глубже двух уровней.,Ninguna cadena supera los dos niveles.,Keine Kette reicht tiefer als zwei Ebenen.,Nenhuma cadeia ultrapassa dois níveis.,Tidak ada rantai yang lebih dalam dari dua level.,لا توجد سلسلة أعمق من مستويين.
No cycle. Every data relation runs one way.,"没有循环，所有数据关系都是单向的。","沒有循環，所有資料關係都是單向的。",No cycle. Every data relation runs one way.,Aucun cycle : toutes les relations de données sont à sens unique.,循環はありません。すべてのデータ関係は一方向です。,순환이 없습니다. 모든 데이터 관계가 단방향입니다.,Циклов нет: все связи данных односторонние.,Sin ciclos: todas las relaciones de datos son unidireccionales.,Kein Zyklus. Jede Datenbeziehung verläuft in eine Richtung.,Sem ciclos: todas as relações de dados são unidirecionais.,Tidak ada siklus. Semua relasi data berjalan satu arah.,لا توجد دورات؛ كل علاقات البيانات باتجاه واحد.
Every model owns its own table.,每个模型都独占自己的表。,每個模型都獨佔自己的表。,Every model owns its own table.,Chaque modèle possède sa propre table.,すべてのモデルが自分のテーブルを持っています。,모든 모델이 자기 테이블을 가집니다.,У каждой модели своя таблица.,Cada modelo tiene su propia tabla.,Jedes Modell besitzt seine eigene Tabelle.,Cada modelo tem a sua própria tabela.,Setiap model memiliki tabelnya sendiri.,كل نموذج يملك جدوله الخاص.
Every model is connected.,每个模型都有关联。,每個模型都有關聯。,Every model is connected.,Chaque modèle est relié.,すべてのモデルがつながっています。,모든 모델이 연결되어 있습니다.,Все модели связаны.,Todos los modelos están conectados.,Jedes Modell ist verbunden.,Todos os modelos estão ligados.,Setiap model terhubung.,كل نموذج مرتبط بغيره.
Every entity model is reachable from a menu.,每个实体模型都能从菜单进入。,每個實體模型都能從選單進入。,Every entity model is reachable from a menu.,Chaque modèle entité est accessible depuis un menu.,すべての実体モデルはメニューから到達できます。,모든 엔티티 모델이 메뉴에서 접근 가능합니다.,Каждая модель-сущность доступна из меню.,Todos los modelos de entidad son accesibles desde un menú.,Jedes Entitätsmodell ist über ein Menü erreichbar.,Todos os modelos de entidade são acessíveis a partir de um menu.,Setiap model entitas dapat dijangkau dari menu.,كل نموذج كيان يمكن الوصول إليه من القائمة.
No relation to any other model,与其他模型没有关联,與其他模型沒有關聯,No relation to any other model,Aucune relation avec un autre modèle,他のモデルとの関係はありません,다른 모델과의 관계가 없습니다,Нет связей с другими моделями,Sin relación con ningún otro modelo,Keine Beziehung zu einem anderen Modell,Sem relação com qualquer outro modelo,Tidak ada relasi dengan model lain,لا توجد علاقة بأي نموذج آخر
No relation to any other model.,与其他模型没有关联。,與其他模型沒有關聯。,No relation to any other model.,Aucune relation avec un autre modèle.,他のモデルとの関係はありません。,다른 모델과의 관계가 없습니다.,Нет связей с другими моделями.,Sin relación con ningún otro modelo.,Keine Beziehung zu einem anderen Modell.,Sem relação com qualquer outro modelo.,Tidak ada relasi dengan model lain.,لا توجد علاقة بأي نموذج آخر.
No dimension or measure.,没有维度或度量。,沒有維度或度量。,No dimension or measure.,Aucune dimension ni mesure.,ディメンションもメジャーもありません。,차원이나 측정값이 없습니다.,Нет измерений и мер.,Sin dimensiones ni medidas.,Keine Dimension und kein Kennwert.,Sem dimensões nem medidas.,Tidak ada dimensi atau ukuran.,لا توجد أبعاد أو مقاييس.
No field.,没有字段。,沒有欄位。,No field.,Aucun champ.,フィールドがありません。,필드가 없습니다.,Нет полей.,Sin campos.,Keine Felder.,Sem campos.,Tidak ada bidang.,لا توجد حقول.
Nothing here.,这里什么都没有。,這裡什麼都沒有。,Nothing here.,Rien ici.,ここには何もありません。,여기에는 아무것도 없습니다.,Здесь пусто.,Aquí no hay nada.,Hier ist nichts.,Aqui não há nada.,Tidak ada apa pun di sini.,لا شيء هنا.
Click a model to open its lineage,点击模型查看其血缘,點擊模型查看其血緣,Click a model to open its lineage,Cliquez sur un modèle pour voir son lignage,モデルをクリックするとリネージが開きます,모델을 클릭하면 계보가 열립니다,"Нажмите на модель, чтобы открыть её связи",Haga clic en un modelo para ver su linaje,"Auf ein Modell klicken, um seine Herkunft zu öffnen",Clique num modelo para ver a sua linhagem,Klik model untuk membuka silsilahnya,انقر على نموذج لعرض سلالته
Click any model to open its lineage,点击任意模型查看其血缘,點擊任意模型查看其血緣,Click any model to open its lineage,Cliquez sur un modèle pour voir son lignage,任意のモデルをクリックするとリネージが開きます,아무 모델이나 클릭하면 계보가 열립니다,"Нажмите на любую модель, чтобы открыть её связи",Haga clic en cualquier modelo para ver su linaje,"Auf ein beliebiges Modell klicken, um seine Herkunft zu öffnen",Clique em qualquer modelo para ver a sua linhagem,Klik model mana pun untuk membuka silsilahnya,انقر على أي نموذج لعرض سلالته
Pick a cell to list its relations,选择一个格子查看其中的关系,選擇一個格子查看其中的關係,Pick a cell to list its relations,Choisissez une cellule pour lister ses relations,セルを選ぶと関係が一覧表示されます,셀을 선택하면 관계가 나열됩니다,"Выберите ячейку, чтобы увидеть её связи",Elija una celda para listar sus relaciones,"Eine Zelle wählen, um ihre Beziehungen zu listen",Escolha uma célula para listar as suas relações,Pilih sel untuk menampilkan relasinya,اختر خلية لعرض علاقاتها
display name,显示名称,顯示名稱,display name,nom affiché,表示名,표시 이름,отображаемое имя,nombre visible,Anzeigename,nome apresentado,nama tampilan,الاسم المعروض
description,描述,描述,description,description,説明,설명,описание,descripción,Beschreibung,descrição,deskripsi,الوصف
module,模块,模組,module,module,モジュール,모듈,модуль,módulo,Modul,módulo,modul,الوحدة
kind,类型,類型,kind,type,種別,종류,тип,tipo,Art,tipo,jenis,النوع
table,数据表,資料表,table,table,テーブル,테이블,таблица,tabla,Tabelle,tabela,tabel,الجدول
primary key,主键,主鍵,primary key,clé primaire,主キー,기본 키,первичный ключ,clave primaria,Primärschlüssel,chave primária,kunci utama,المفتاح الأساسي
permissions,权限,權限,permissions,permissions,権限,권한,права,permisos,Berechtigungen,permissões,izin,الصلاحيات
data proxy,数据代理,資料代理,data proxy,proxy de données,データプロキシ,데이터 프록시,прокси данных,proxy de datos,Daten-Proxy,proxy de dados,proksi data,وكيل البيانات
runtime registered,运行时注册,執行期註冊,runtime registered,enregistré à l'exécution,実行時に登録,런타임 등록,зарегистрировано во время работы,registrado en tiempo de ejecución,zur Laufzeit registriert,registado em tempo de execução,terdaftar saat runtime,مسجل أثناء التشغيل
required,必填,必填,required,requis,必須,필수,обязательно,obligatorio,Pflicht,obrigatório,wajib,مطلوب
search,可搜索,可搜尋,search,recherche,検索可,검색 가능,поиск,búsqueda,Suche,pesquisa,cari,بحث
"Level 0: models that depend on nothing. Everything else stands on these, so a column change here travels the furthest — the count is how many models break transitively.","第 0 层：不依赖任何模型的模型。其他所有模型都站在它们之上，所以改这里的字段影响最远——数字表示会被传递影响到的模型数。","第 0 層：不依賴任何模型的模型。其他所有模型都站在它們之上，所以改這裡的欄位影響最遠——數字表示會被傳遞影響到的模型數。","Level 0: models that depend on nothing. Everything else stands on these, so a column change here travels the furthest — the count is how many models break transitively.","Niveau 0 : les modèles qui ne dépendent de rien. Tout le reste s'appuie dessus, donc un changement de colonne ici porte le plus loin — le compte indique combien de modèles cassent par transitivité.",レベル 0：何にも依存しないモデル。ほかのすべてがこの上に立つため、ここでの列変更がもっとも遠くまで波及します。数値は連鎖的に壊れるモデル数です。,레벨 0: 아무것도 의존하지 않는 모델. 나머지 전부가 이 위에 서 있으므로 여기서의 컬럼 변경이 가장 멀리 퍼집니다. 숫자는 연쇄적으로 깨지는 모델 수입니다.,"Уровень 0: модели, которые ни от чего не зависят. На них стоит всё остальное, поэтому изменение колонки здесь уходит дальше всего — число показывает, сколько моделей ломается транзитивно.","Nivel 0: modelos que no dependen de nada. Todo lo demás se apoya en ellos, así que cambiar una columna aquí llega más lejos — el número indica cuántos modelos se rompen de forma transitiva.","Ebene 0: Modelle, die von nichts abhängen. Alles andere steht darauf, ein Spaltenwechsel hier reicht am weitesten — die Zahl nennt die transitiv betroffenen Modelle.","Nível 0: modelos que não dependem de nada. Todo o resto assenta neles, por isso alterar uma coluna aqui vai mais longe — o número indica quantos modelos quebram por transitividade.","Level 0: model yang tidak bergantung pada apa pun. Semua yang lain berdiri di atasnya, jadi perubahan kolom di sini merambat paling jauh — angkanya adalah jumlah model yang rusak secara transitif.","المستوى 0: نماذج لا تعتمد على شيء. كل ما عداها يقوم عليها، لذا فتغيير عمود هنا يصل إلى أبعد مدى، والعدد يبيّن كم نموذجاً يتأثر بالتسلسل."
Where the depth actually comes from: start at a model nothing depends on and follow the deepest dependency each step. Everything not on one of these lines is one or two levels from the bedrock.,"深度到底从哪来：从没有任何模型依赖它的模型出发，每一步都走最深的那个依赖。不在这些链上的模型，离地基只有一两层。","深度到底從哪來：從沒有任何模型依賴它的模型出發，每一步都走最深的那個依賴。不在這些鏈上的模型，離地基只有一兩層。",Where the depth actually comes from: start at a model nothing depends on and follow the deepest dependency each step. Everything not on one of these lines is one or two levels from the bedrock.,D'où vient réellement la profondeur : partez d'un modèle dont rien ne dépend et suivez à chaque pas la dépendance la plus profonde. Tout ce qui n'est pas sur ces lignes est à un ou deux niveaux du socle.,深さの出どころ：どこからも依存されていないモデルから出発し、各段でもっとも深い依存をたどります。これらの線に乗らないモデルは土台から 1〜2 階層です。,깊이가 실제로 어디서 오는지: 아무도 의존하지 않는 모델에서 출발해 매 단계 가장 깊은 의존을 따라갑니다. 이 줄에 없는 모델은 기반에서 한두 단계 거리입니다.,"Откуда на самом деле берётся глубина: начните с модели, от которой ничто не зависит, и на каждом шаге идите к самой глубокой зависимости. Всё, что не на этих линиях, в одном-двух уровнях от фундамента.",De dónde viene realmente la profundidad: empiece en un modelo del que nada depende y siga en cada paso la dependencia más profunda. Todo lo que no está en estas líneas queda a uno o dos niveles de la base.,"Woher die Tiefe wirklich kommt: bei einem Modell beginnen, von dem nichts abhängt, und in jedem Schritt der tiefsten Abhängigkeit folgen. Alles abseits dieser Linien liegt ein bis zwei Ebenen über dem Fundament.",De onde vem realmente a profundidade: comece num modelo do qual nada depende e siga em cada passo a dependência mais profunda. Tudo o que não está nestas linhas fica a um ou dois níveis da base.,"Dari mana kedalaman sebenarnya berasal: mulai dari model yang tidak menjadi tumpuan siapa pun, lalu ikuti dependensi terdalam di setiap langkah. Yang tidak berada di baris ini hanya satu atau dua level dari fondasi.",من أين تأتي العمق فعلياً: ابدأ من نموذج لا يعتمد عليه أحد وتتبّع في كل خطوة أعمق اعتماد. وكل ما هو خارج هذه السلاسل يبعد مستوى أو مستويين عن الأساس.
"Every levelled model, deepest level first. A model sits one level above the deepest thing it needs, so reading down a level is reading one step closer to the bedrock.","全部已分层的模型，从最深的层开始。一个模型排在它所依赖的最深者之上一层，所以往下读一层就是离地基更近一步。","全部已分層的模型，從最深的層開始。一個模型排在它所依賴的最深者之上一層，所以往下讀一層就是離地基更近一步。","Every levelled model, deepest level first. A model sits one level above the deepest thing it needs, so reading down a level is reading one step closer to the bedrock.","Tous les modèles classés, du niveau le plus profond au plus haut. Un modèle se place un niveau au-dessus de ce dont il a le plus besoin en profondeur : descendre d'un niveau, c'est se rapprocher du socle.",階層化されたすべてのモデルを、深い層から順に。モデルは必要とするもっとも深い対象の 1 つ上に置かれるので、1 段下るごとに土台へ近づきます。,"레벨이 매겨진 모든 모델을 가장 깊은 레벨부터. 모델은 자신이 필요로 하는 가장 깊은 것보다 한 레벨 위에 놓이므로, 한 레벨 내려갈수록 기반에 가까워집니다.","Все размещённые модели, начиная с самого глубокого уровня. Модель стоит на уровень выше самого глубокого, что ей нужно, поэтому шаг вниз — это шаг к фундаменту.","Todos los modelos clasificados, empezando por el nivel más profundo. Un modelo se sitúa un nivel por encima de lo más profundo que necesita, así que bajar un nivel es acercarse a la base.","Alle eingeordneten Modelle, vom tiefsten Level aufwärts gelesen. Ein Modell liegt eine Ebene über dem Tiefsten, das es braucht — eine Ebene tiefer lesen heißt, dem Fundament näher kommen.","Todos os modelos classificados, do nível mais profundo para cima. Um modelo fica um nível acima do mais profundo de que precisa, por isso descer um nível é aproximar-se da base.","Semua model yang dilevelkan, dari level terdalam. Sebuah model berada satu level di atas hal terdalam yang dibutuhkannya, jadi turun satu level berarti selangkah lebih dekat ke fondasi.","كل النماذج المصنفة، بدءاً من أعمق مستوى. يقع النموذج مستوى واحداً فوق أعمق ما يحتاجه، لذا فالنزول مستوى واحداً يقرّبك خطوة من الأساس."
"Models that reference each other in a loop, following data relations only (reference / sub table / embedded). A self reference such as a parent field is a tree, not a cycle, and is not listed.","互相引用成环的模型，只看数据关系（引用 / 子表 / 内嵌）。像父级字段那样的自引用是树，不是环，不会列出。","互相引用成環的模型，只看資料關係（引用 / 子表 / 內嵌）。像父級欄位那樣的自我引用是樹，不是環，不會列出。","Models that reference each other in a loop, following data relations only (reference / sub table / embedded). A self reference such as a parent field is a tree, not a cycle, and is not listed.","Modèles qui se référencent en boucle, en ne suivant que les relations de données (référence / sous-table / embarqué). Une auto-référence comme un champ parent est un arbre, pas un cycle, et n'est pas listée.",データ関係（参照 / サブテーブル / 埋め込み）だけをたどって互いを循環参照しているモデル。親フィールドのような自己参照は木であり循環ではないため、一覧には出ません。,데이터 관계(참조 / 서브 테이블 / 임베드)만 따라가며 서로를 순환 참조하는 모델. 상위 필드 같은 자기 참조는 트리이지 순환이 아니므로 표시되지 않습니다.,"Модели, ссылающиеся друг на друга по кругу, только по связям данных (ссылка / подтаблица / встраивание). Самоссылка вроде поля-родителя — это дерево, а не цикл, и не показывается.","Modelos que se referencian en bucle, siguiendo solo relaciones de datos (referencia / subtabla / incrustado). Una autorreferencia como un campo padre es un árbol, no un ciclo, y no se lista.","Modelle, die sich im Kreis referenzieren, nur entlang der Datenbeziehungen (Referenz / Untertabelle / eingebettet). Eine Selbstreferenz wie ein Elternfeld ist ein Baum, kein Zyklus, und wird nicht gelistet.","Modelos que se referenciam em ciclo, seguindo apenas relações de dados (referência / subtabela / incorporado). Uma autorreferência como um campo pai é uma árvore, não um ciclo, e não é listada.","Model yang saling merujuk membentuk lingkaran, hanya mengikuti relasi data (referensi / subtabel / tersemat). Referensi diri seperti bidang induk adalah pohon, bukan siklus, dan tidak didaftar.","نماذج تشير إلى بعضها في حلقة، باتباع علاقات البيانات وحدها (إشارة / جدول فرعي / مضمّن). والإشارة الذاتية مثل حقل الأب شجرة لا حلقة، ولا تُدرج هنا."
Several @Erupt classes mapped onto the same physical table — the narrower-projection idiom. Worth knowing before changing a column: the edit reaches every model in the row.,多个 @Erupt 类映射到同一张物理表——这是窄投影的惯用写法。改字段前值得知道：这一行里的每个模型都会受影响。,多個 @Erupt 類別映射到同一張實體表——這是窄投影的慣用寫法。改欄位前值得知道：這一列裡的每個模型都會受影響。,Several @Erupt classes mapped onto the same physical table — the narrower-projection idiom. Worth knowing before changing a column: the edit reaches every model in the row.,Plusieurs classes @Erupt pointent sur la même table physique — l'idiome de projection restreinte. Bon à savoir avant de changer une colonne : la modification touche tous les modèles de la ligne.,複数の @Erupt クラスが同じ物理テーブルに対応しています（絞り込み射影のイディオム）。列を変更する前に知っておく価値があります。変更はこの行のすべてのモデルに及びます。,여러 @Erupt 클래스가 같은 물리 테이블에 매핑되어 있습니다 — 좁은 투영 관용구입니다. 컬럼을 바꾸기 전에 알아 두세요. 수정은 이 행의 모든 모델에 미칩니다.,Несколько классов @Erupt отображены на одну физическую таблицу — идиома узкой проекции. Полезно знать перед изменением колонки: правка затронет все модели в строке.,Varias clases @Erupt apuntan a la misma tabla física — el modismo de proyección estrecha. Conviene saberlo antes de cambiar una columna: la edición alcanza a todos los modelos de la fila.,Mehrere @Erupt-Klassen liegen auf derselben physischen Tabelle — das Idiom der engeren Projektion. Vor einer Spaltenänderung gut zu wissen: die Änderung erreicht jedes Modell der Zeile.,Várias classes @Erupt mapeadas na mesma tabela física — o idioma da projeção mais estreita. Vale saber antes de alterar uma coluna: a edição alcança todos os modelos da linha.,Beberapa kelas @Erupt dipetakan ke tabel fisik yang sama — idiom proyeksi sempit. Perlu diketahui sebelum mengubah kolom: perubahan menjangkau semua model di baris itu.,"عدة أصناف @Erupt مرتبطة بالجدول الفعلي نفسه، وهو أسلوب الإسقاط الأضيق. من المفيد معرفته قبل تغيير عمود: فالتعديل يصل إلى كل نموذج في الصف."
"No relation points at them and they point at nothing: logs, registries and settings usually, but this is also where a forgotten model hides.","没有任何关系指向它们，它们也不指向别人：通常是日志、注册表和设置，但被遗忘的模型也藏在这里。","沒有任何關係指向它們，它們也不指向別人：通常是日誌、註冊表和設定，但被遺忘的模型也藏在這裡。","No relation points at them and they point at nothing: logs, registries and settings usually, but this is also where a forgotten model hides.","Rien ne pointe vers eux et ils ne pointent vers rien : journaux, registres et réglages le plus souvent, mais c'est aussi là que se cache un modèle oublié.",何からも参照されず、何も参照しないモデル。多くはログ・レジストリ・設定ですが、忘れられたモデルが紛れているのもここです。,"어떤 관계도 이들을 가리키지 않고 이들도 아무것도 가리키지 않습니다. 보통 로그·레지스트리·설정이지만, 잊힌 모델이 숨는 곳이기도 합니다.","На них ничто не ссылается, и они не ссылаются ни на что: обычно логи, реестры и настройки — но здесь же прячется забытая модель.","Nada apunta a ellos y ellos no apuntan a nada: suelen ser registros, catálogos y ajustes, pero aquí también se esconde un modelo olvidado.","Nichts zeigt auf sie und sie zeigen auf nichts: meist Logs, Registraturen und Einstellungen — hier versteckt sich aber auch ein vergessenes Modell.","Nada aponta para eles e eles não apontam para nada: normalmente registos, catálogos e definições, mas é também aqui que se esconde um modelo esquecido.","Tidak ada relasi yang menunjuk ke mereka dan mereka tidak menunjuk apa pun: biasanya log, registri, dan pengaturan, tetapi di sinilah model yang terlupakan juga bersembunyi.","لا شيء يشير إليها وهي لا تشير إلى شيء: غالباً سجلات وفهارس وإعدادات، لكن هنا أيضاً يختبئ نموذج منسي."
